"","Technology","usage"
"1","Solar",20
"2","Battery",7.5
"3","CHP",2.5
"4","Fuel_Cell",0
"5","Solar",37.5
"6","Battery",15
"7","CHP",5
"8","Fuel_Cell",0
"9","Solar",35
"10","Battery",15
"11","CHP",4.5
"12","Fuel_Cell",0
"13","Solar",35
"14","Battery",15
"15","CHP",4.5
"16","Fuel_Cell",0
"17","Solar",80
"18","Solar",65
"19","Battery",22.5
"20","Battery",20
"21","CHP",20
"22","CHP",15
"23","Fuel_Cell",20
"24","Fuel_Cell",15
"25","Solar",25
"26","Battery",11
"27","CHP",3.5
"28","Fuel_Cell",0
"29","Solar",25
"30","Battery",11
"31","CHP",3
"32","Fuel_Cell",0
"33","Solar",27.5
"34","Battery",11
"35","CHP",3.5
"36","Fuel_Cell",0
"37","Solar",42.5
"38","Solar",27.5
"39","Battery",20
"40","Battery",11
"41","CHP",5.5
"42","CHP",3.5
"43","Fuel_Cell",0
"44","Fuel_Cell",0
"45","Solar",110
"46","Battery",30
"47","CHP",27.5
"48","Fuel_Cell",27.5
"49","Solar",40
"50","Battery",17.5
"51","CHP",5.5
"52","Fuel_Cell",0
"53","Solar",80
"54","Battery",22.5
"55","CHP",20
"56","Fuel_Cell",20
"57","Solar",95
"58","Battery",27.5
"59","CHP",25
"60","Fuel_Cell",25
"61","Solar",27.5
"62","Battery",11.5
"63","CHP",4
"64","Fuel_Cell",0
"65","Solar",132.5
"66","Solar",140
"67","Solar",127.5
"68","Battery",35
"69","Battery",37.5
"70","Battery",35
"71","CHP",35
"72","CHP",35
"73","CHP",32.5
"74","Fuel_Cell",35
"75","Fuel_Cell",35
"76","Fuel_Cell",32.5
"77","Solar",95
"78","Battery",27.5
"79","CHP",25
"80","Fuel_Cell",25
"81","Solar",120
"82","Solar",135
"83","Battery",32.5
"84","Battery",35
"85","CHP",30
"86","CHP",35
"87","Fuel_Cell",30
"88","Fuel_Cell",35
"89","Solar",117.5
"90","Battery",32.5
"91","CHP",30
"92","Fuel_Cell",30
"93","Solar",140
"94","Battery",40
"95","CHP",35
"96","Fuel_Cell",35
"97","Solar",35
"98","Battery",14.5
"99","CHP",4.5
"100","Fuel_Cell",0
"101","Solar",110
"102","Battery",30
"103","CHP",27.5
"104","Fuel_Cell",27.5
"105","Solar",140
"106","Battery",40
"107","CHP",35
"108","Fuel_Cell",35
"109","Solar",160
"110","Solar",125
"111","Solar",110
"112","Battery",42.5
"113","Battery",35
"114","Battery",30
"115","CHP",40
"116","CHP",32.5
"117","CHP",27.5
"118","Fuel_Cell",40
"119","Fuel_Cell",32.5
"120","Fuel_Cell",27.5
"121","Solar",135
"122","Solar",145
"123","Battery",35
"124","Battery",40
"125","CHP",35
"126","CHP",35
"127","Fuel_Cell",35
"128","Fuel_Cell",35
"129","Solar",145
"130","Solar",160
"131","Solar",150
"132","Battery",40
"133","Battery",42.5
"134","Battery",42.5
"135","CHP",35
"136","CHP",40
"137","CHP",37.5
"138","Fuel_Cell",35
"139","Fuel_Cell",40
"140","Fuel_Cell",37.5
"141","Solar",35
"142","Battery",15
"143","CHP",4.5
"144","Fuel_Cell",0
"145","Solar",145
"146","Battery",40
"147","CHP",35
"148","Fuel_Cell",35
"149","Solar",110
"150","Solar",335
"151","Battery",30
"152","Battery",37.5
"153","CHP",27.5
"154","CHP",3
"155","Fuel_Cell",27.5
"156","Fuel_Cell",37.5
"157","Solar",190
"158","Solar",160
"159","Battery",50
"160","Battery",42.5
"161","CHP",47.5
"162","CHP",40
"163","Fuel_Cell",47.5
"164","Fuel_Cell",40
"165","Solar",145
"166","Battery",40
"167","CHP",35
"168","Fuel_Cell",35
"169","Solar",155
"170","Battery",42.5
"171","CHP",40
"172","Fuel_Cell",40
"173","Solar",145
"174","Solar",70
"175","Solar",125
"176","Battery",40
"177","Battery",20
"178","Battery",35
"179","CHP",35
"180","CHP",20
"181","CHP",32.5
"182","Fuel_Cell",35
"183","Fuel_Cell",20
"184","Fuel_Cell",32.5
"185","Solar",160
"186","Solar",117.5
"187","Battery",42.5
"188","Battery",32.5
"189","CHP",40
"190","CHP",27.5
"191","Fuel_Cell",40
"192","Fuel_Cell",27.5
"193","Solar",185
"194","Battery",50
"195","CHP",47.5
"196","Fuel_Cell",47.5
"197","Solar",150
"198","Solar",145
"199","Solar",205
"200","Battery",42.5
"201","Battery",40
"202","Battery",55
"203","CHP",37.5
"204","CHP",35
"205","CHP",50
"206","Fuel_Cell",37.5
"207","Fuel_Cell",35
"208","Fuel_Cell",50
"209","Solar",160
"210","Solar",135
"211","Battery",42.5
"212","Battery",57.5
"213","CHP",40
"214","CHP",20
"215","Fuel_Cell",40
"216","Fuel_Cell",0
"217","Solar",135
"218","Battery",35
"219","CHP",35
"220","Fuel_Cell",35
"221","Solar",85
"222","Solar",140
"223","Solar",160
"224","Solar",155
"225","Battery",22.5
"226","Battery",37.5
"227","Battery",42.5
"228","Battery",42.5
"229","CHP",22.5
"230","CHP",35
"231","CHP",40
"232","CHP",40
"233","Fuel_Cell",22.5
"234","Fuel_Cell",35
"235","Fuel_Cell",40
"236","Fuel_Cell",40
"237","Solar",145
"238","Battery",40
"239","CHP",35
"240","Fuel_Cell",35
"241","Solar",155
"242","Battery",42.5
"243","CHP",40
"244","Fuel_Cell",40
"245","Solar",117.5
"246","Battery",32.5
"247","CHP",27.5
"248","Fuel_Cell",27.5
"249","Solar",190
"250","Solar",160
"251","Battery",50
"252","Battery",70
"253","CHP",47.5
"254","CHP",22.5
"255","Fuel_Cell",47.5
"256","Fuel_Cell",0
"257","Solar",117.5
"258","Solar",117.5
"259","Battery",32.5
"260","Battery",32.5
"261","CHP",30
"262","CHP",30
"263","Fuel_Cell",30
"264","Fuel_Cell",30
"265","Solar",150
"266","Solar",132.5
"267","Battery",42.5
"268","Battery",35
"269","CHP",37.5
"270","CHP",32.5
"271","Fuel_Cell",37.5
"272","Fuel_Cell",32.5
"273","Solar",80
"274","Battery",22.5
"275","CHP",20
"276","Fuel_Cell",20
"277","Solar",35
"278","Battery",14.5
"279","CHP",4.5
"280","Fuel_Cell",0
"281","Solar",17.5
"282","Solar",117.5
"283","Battery",6.5
"284","Battery",32.5
"285","CHP",2.5
"286","CHP",30
"287","Fuel_Cell",0
"288","Fuel_Cell",30
"289","Solar",140
"290","Solar",190
"291","Battery",37.5
"292","Battery",50
"293","CHP",35
"294","CHP",47.5
"295","Fuel_Cell",35
"296","Fuel_Cell",47.5
"297","Solar",140
"298","Battery",37.5
"299","CHP",35
"300","Fuel_Cell",35
"301","Solar",145
"302","Battery",40
"303","CHP",35
"304","Fuel_Cell",35
"305","Solar",160
"306","Solar",145
"307","Solar",145
"308","Battery",42.5
"309","Battery",40
"310","Battery",40
"311","CHP",40
"312","CHP",35
"313","CHP",37.5
"314","Fuel_Cell",40
"315","Fuel_Cell",35
"316","Fuel_Cell",37.5
"317","Solar",105
"318","Battery",27.5
"319","CHP",27.5
"320","Fuel_Cell",27.5
"321","Solar",255
"322","Battery",67.5
"323","CHP",62.5
"324","Fuel_Cell",62.5
"325","Solar",230
"326","Battery",62.5
"327","CHP",57.5
"328","Fuel_Cell",57.5
"329","Solar",20
"330","Solar",170
"331","Battery",8
"332","Battery",47.5
"333","CHP",3
"334","CHP",42.5
"335","Fuel_Cell",0
"336","Fuel_Cell",42.5
"337","Solar",150
"338","Solar",215
"339","Battery",42.5
"340","Battery",57.5
"341","CHP",37.5
"342","CHP",55
"343","Fuel_Cell",37.5
"344","Fuel_Cell",55
"345","Solar",160
"346","Solar",155
"347","Battery",42.5
"348","Battery",42.5
"349","CHP",40
"350","CHP",40
"351","Fuel_Cell",40
"352","Fuel_Cell",40
"353","Solar",155
"354","Battery",42.5
"355","CHP",40
"356","Fuel_Cell",40
"357","Solar",32.5
"358","Solar",22.5
"359","Solar",25
"360","Battery",14.5
"361","Battery",10.5
"362","Battery",11
"363","CHP",4
"364","CHP",3
"365","CHP",2.5
"366","Fuel_Cell",0
"367","Fuel_Cell",0
"368","Fuel_Cell",0
"369","Solar",310
"370","Solar",47.5
"371","Solar",145
"372","Solar",22.5
"373","Battery",80
"374","Battery",20
"375","Battery",40
"376","Battery",10.5
"377","CHP",75
"378","CHP",6.5
"379","CHP",37.5
"380","CHP",3
"381","Fuel_Cell",75
"382","Fuel_Cell",0
"383","Fuel_Cell",37.5
"384","Fuel_Cell",0
"385","Solar",95
"386","Battery",27.5
"387","CHP",27.5
"388","Fuel_Cell",27.5
"389","Solar",20
"390","Solar",95
"391","Battery",7.5
"392","Battery",40
"393","CHP",2.5
"394","CHP",14.5
"395","Fuel_Cell",0
"396","Fuel_Cell",0
"397","Solar",57.5
"398","Solar",175
"399","Battery",25
"400","Battery",47.5
"401","CHP",7.5
"402","CHP",42.5
"403","Fuel_Cell",0
"404","Fuel_Cell",42.5
"405","Solar",140
"406","Solar",145
"407","Battery",37.5
"408","Battery",40
"409","CHP",35
"410","CHP",37.5
"411","Fuel_Cell",0
"412","Fuel_Cell",37.5
"413","Solar",200
"414","Battery",55
"415","CHP",50
"416","Fuel_Cell",50
"417","Solar",355
"418","Battery",87.5
"419","CHP",80
"420","Fuel_Cell",80
"421","Solar",145
"422","Solar",200
"423","Battery",40
"424","Battery",55
"425","CHP",35
"426","CHP",50
"427","Fuel_Cell",35
"428","Fuel_Cell",50
"429","Solar",250
"430","Solar",255
"431","Battery",65
"432","Battery",67.5
"433","CHP",62.5
"434","CHP",62.5
"435","Fuel_Cell",62.5
"436","Fuel_Cell",62.5
"437","Solar",125
"438","Battery",35
"439","CHP",32.5
"440","Fuel_Cell",32.5
"441","Solar",2.5
"442","Solar",135
"443","Solar",200
"444","Battery",1.5
"445","Battery",35
"446","Battery",55
"447","CHP",1
"448","CHP",35
"449","CHP",50
"450","Fuel_Cell",0
"451","Fuel_Cell",35
"452","Fuel_Cell",50
"453","Solar",185
"454","Battery",50
"455","CHP",47.5
"456","Fuel_Cell",47.5
"457","Solar",135
"458","Solar",155
"459","Battery",35
"460","Battery",42.5
"461","CHP",35
"462","CHP",40
"463","Fuel_Cell",35
"464","Fuel_Cell",40
"465","Solar",605
"466","Solar",110
"467","Solar",47.5
"468","Solar",315
"469","Battery",240
"470","Battery",30
"471","Battery",20
"472","Battery",80
"473","CHP",77.5
"474","CHP",27.5
"475","CHP",6
"476","CHP",75
"477","Fuel_Cell",0
"478","Fuel_Cell",27.5
"479","Fuel_Cell",0
"480","Fuel_Cell",75
"481","Solar",95
"482","Solar",245
"483","Solar",57.5
"484","Solar",160
"485","Battery",27.5
"486","Battery",65
"487","Battery",25
"488","Battery",42.5
"489","CHP",25
"490","CHP",60
"491","CHP",7.5
"492","CHP",40
"493","Fuel_Cell",25
"494","Fuel_Cell",60
"495","Fuel_Cell",0
"496","Fuel_Cell",40
"497","Solar",220
"498","Solar",145
"499","Solar",57.5
"500","Solar",355
"501","Solar",365
"502","Battery",57.5
"503","Battery",40
"504","Battery",25
"505","Battery",87.5
"506","Battery",92.5
"507","CHP",55
"508","CHP",35
"509","CHP",7.5
"510","CHP",80
"511","CHP",80
"512","Fuel_Cell",55
"513","Fuel_Cell",35
"514","Fuel_Cell",0
"515","Fuel_Cell",80
"516","Fuel_Cell",80
"517","Solar",22.5
"518","Solar",40
"519","Solar",250
"520","Solar",175
"521","Solar",140
"522","Solar",150
"523","Battery",10.5
"524","Battery",17.5
"525","Battery",65
"526","Battery",47.5
"527","Battery",37.5
"528","Battery",42.5
"529","CHP",3
"530","CHP",5.5
"531","CHP",62.5
"532","CHP",42.5
"533","CHP",35
"534","CHP",37.5
"535","Fuel_Cell",0
"536","Fuel_Cell",0
"537","Fuel_Cell",62.5
"538","Fuel_Cell",42.5
"539","Fuel_Cell",35
"540","Fuel_Cell",37.5
"541","Solar",280
"542","Solar",155
"543","Solar",155
"544","Battery",72.5
"545","Battery",42.5
"546","Battery",42.5
"547","CHP",67.5
"548","CHP",40
"549","CHP",40
"550","Fuel_Cell",67.5
"551","Fuel_Cell",40
"552","Fuel_Cell",40
"553","Solar",230
"554","Solar",145
"555","Solar",15
"556","Battery",62.5
"557","Battery",40
"558","Battery",6
"559","CHP",55
"560","CHP",37.5
"561","CHP",2.5
"562","Fuel_Cell",55
"563","Fuel_Cell",37.5
"564","Fuel_Cell",0
"565","Solar",132.5
"566","Battery",35
"567","CHP",32.5
"568","Fuel_Cell",32.5
"569","Solar",140
"570","Battery",37.5
"571","CHP",35
"572","Fuel_Cell",35
"573","Solar",335
"574","Solar",170
"575","Battery",85
"576","Battery",47.5
"577","CHP",77.5
"578","CHP",42.5
"579","Fuel_Cell",77.5
"580","Fuel_Cell",42.5
"581","Solar",385
"582","Solar",335
"583","Solar",145
"584","Battery",95
"585","Battery",85
"586","Battery",40
"587","CHP",87.5
"588","CHP",77.5
"589","CHP",35
"590","Fuel_Cell",87.5
"591","Fuel_Cell",77.5
"592","Fuel_Cell",35
"593","Solar",140
"594","Battery",40
"595","CHP",35
"596","Fuel_Cell",35
"597","Solar",135
"598","Solar",465
"599","Battery",57.5
"600","Battery",117.5
"601","CHP",20
"602","CHP",102.5
"603","Fuel_Cell",0
"604","Fuel_Cell",102.5
"605","Solar",375
"606","Solar",22.5
"607","Battery",95
"608","Battery",10.5
"609","CHP",87.5
"610","CHP",3
"611","Fuel_Cell",87.5
"612","Fuel_Cell",0
"613","Solar",155
"614","Battery",42.5
"615","CHP",40
"616","Fuel_Cell",40
"617","Solar",125
"618","Solar",145
"619","Battery",35
"620","Battery",40
"621","CHP",32.5
"622","CHP",35
"623","Fuel_Cell",32.5
"624","Fuel_Cell",35
"625","Solar",20
"626","Battery",7
"627","CHP",2.5
"628","Fuel_Cell",0
"629","Solar",275
"630","Battery",72.5
"631","CHP",65
"632","Fuel_Cell",65
"633","Solar",160
"634","Battery",42.5
"635","CHP",40
"636","Fuel_Cell",40
"637","Solar",132.5
"638","Solar",550
"639","Battery",35
"640","Battery",140
"641","CHP",32.5
"642","CHP",125
"643","Fuel_Cell",32.5
"644","Fuel_Cell",125
"645","Solar",330
"646","Solar",160
"647","Solar",170
"648","Battery",80
"649","Battery",42.5
"650","Battery",47.5
"651","CHP",77.5
"652","CHP",40
"653","CHP",42.5
"654","Fuel_Cell",77.5
"655","Fuel_Cell",40
"656","Fuel_Cell",42.5
"657","Solar",215
"658","Solar",350
"659","Solar",155
"660","Battery",57.5
"661","Battery",87.5
"662","Battery",42.5
"663","CHP",50
"664","CHP",80
"665","CHP",40
"666","Fuel_Cell",50
"667","Fuel_Cell",80
"668","Fuel_Cell",40
"669","Solar",145
"670","Solar",30
"671","Battery",40
"672","Battery",11.5
"673","CHP",35
"674","CHP",4
"675","Fuel_Cell",35
"676","Fuel_Cell",0
"677","Solar",200
"678","Solar",770
"679","Battery",55
"680","Battery",190
"681","CHP",47.5
"682","CHP",175
"683","Fuel_Cell",47.5
"684","Fuel_Cell",0
"685","Solar",62.5
"686","Solar",70
"687","Solar",140
"688","Battery",17.5
"689","Battery",20
"690","Battery",40
"691","CHP",15
"692","CHP",20
"693","CHP",35
"694","Fuel_Cell",15
"695","Fuel_Cell",20
"696","Fuel_Cell",35
"697","Solar",132.5
"698","Solar",150
"699","Battery",35
"700","Battery",42.5
"701","CHP",32.5
"702","CHP",37.5
"703","Fuel_Cell",32.5
"704","Fuel_Cell",37.5
"705","Solar",305
"706","Battery",77.5
"707","CHP",72.5
"708","Fuel_Cell",72.5
"709","Solar",260
"710","Battery",70
"711","CHP",62.5
"712","Fuel_Cell",62.5
"713","Solar",170
"714","Battery",47.5
"715","CHP",42.5
"716","Fuel_Cell",42.5
"717","Solar",240
"718","Battery",62.5
"719","CHP",57.5
"720","Fuel_Cell",57.5
"721","Solar",132.5
"722","Battery",35
"723","CHP",32.5
"724","Fuel_Cell",32.5
"725","Solar",405
"726","Solar",175
"727","Solar",445
"728","Solar",320
"729","Battery",102.5
"730","Battery",47.5
"731","Battery",110
"732","Battery",80
"733","CHP",95
"734","CHP",42.5
"735","CHP",102.5
"736","CHP",77.5
"737","Fuel_Cell",95
"738","Fuel_Cell",42.5
"739","Fuel_Cell",102.5
"740","Fuel_Cell",77.5
"741","Solar",145
"742","Battery",40
"743","CHP",35
"744","Fuel_Cell",35
"745","Solar",260
"746","Solar",175
"747","Battery",70
"748","Battery",72.5
"749","CHP",62.5
"750","CHP",25
"751","Fuel_Cell",62.5
"752","Fuel_Cell",0
"753","Solar",190
"754","Solar",215
"755","Battery",50
"756","Battery",57.5
"757","CHP",47.5
"758","CHP",55
"759","Fuel_Cell",47.5
"760","Fuel_Cell",55
"761","Solar",475
"762","Solar",390
"763","Solar",132.5
"764","Solar",132.5
"765","Battery",117.5
"766","Battery",95
"767","Battery",35
"768","Battery",35
"769","CHP",110
"770","CHP",87.5
"771","CHP",32.5
"772","CHP",32.5
"773","Fuel_Cell",110
"774","Fuel_Cell",87.5
"775","Fuel_Cell",32.5
"776","Fuel_Cell",32.5
"777","Solar",132.5
"778","Solar",155
"779","Solar",315
"780","Solar",150
"781","Solar",145
"782","Battery",55
"783","Battery",42.5
"784","Battery",80
"785","Battery",42.5
"786","Battery",40
"787","CHP",20
"788","CHP",40
"789","CHP",75
"790","CHP",37.5
"791","CHP",35
"792","Fuel_Cell",0
"793","Fuel_Cell",40
"794","Fuel_Cell",75
"795","Fuel_Cell",37.5
"796","Fuel_Cell",35
"797","Solar",72.5
"798","Solar",40
"799","Solar",145
"800","Solar",40
"801","Solar",80
"802","Battery",20
"803","Battery",17.5
"804","Battery",40
"805","Battery",17.5
"806","Battery",22.5
"807","CHP",20
"808","CHP",5.5
"809","CHP",35
"810","CHP",5.5
"811","CHP",20
"812","Fuel_Cell",20
"813","Fuel_Cell",0
"814","Fuel_Cell",35
"815","Fuel_Cell",0
"816","Fuel_Cell",20
"817","Solar",390
"818","Solar",290
"819","Solar",35
"820","Solar",6
"821","Solar",360
"822","Battery",95
"823","Battery",77.5
"824","Battery",15
"825","Battery",2.5
"826","Battery",87.5
"827","CHP",87.5
"828","CHP",70
"829","CHP",4.5
"830","CHP",1
"831","CHP",80
"832","Fuel_Cell",87.5
"833","Fuel_Cell",70
"834","Fuel_Cell",0
"835","Fuel_Cell",0
