"","Technology","usage"
"1628","Battery",42.5
"1629","Battery",42.5
"1630","Battery",40
"1631","Battery",140
"1632","Battery",20
"1633","CHP",62.5
"1634","CHP",40
"1635","CHP",40
"1636","CHP",37.5
"1637","CHP",125
"1638","CHP",15
"1639","Fuel_Cell",62.5
"1640","Fuel_Cell",40
"1641","Fuel_Cell",40
"1642","Fuel_Cell",37.5
"1643","Fuel_Cell",125
"1644","Fuel_Cell",15
"1645","Solar",160
"1646","Solar",560
"1647","Solar",345
"1648","Solar",127.5
"1649","Solar",150
"1650","Solar",230
"1651","Solar",555
"1652","Solar",340
"1653","Solar",405
"1654","Battery",42.5
"1655","Battery",140
"1656","Battery",87.5
"1657","Battery",35
"1658","Battery",42.5
"1659","Battery",62.5
"1660","Battery",140
"1661","Battery",87.5
"1662","Battery",102.5
"1663","CHP",40
"1664","CHP",125
"1665","CHP",80
"1666","CHP",32.5
"1667","CHP",37.5
"1668","CHP",57.5
"1669","CHP",125
"1670","CHP",77.5
"1671","CHP",95
"1672","Fuel_Cell",40
"1673","Fuel_Cell",125
"1674","Fuel_Cell",80
"1675","Fuel_Cell",32.5
"1676","Fuel_Cell",37.5
"1677","Fuel_Cell",57.5
"1678","Fuel_Cell",125
"1679","Fuel_Cell",77.5
"1680","Fuel_Cell",95
"1681","Solar",145
"1682","Solar",132.5
"1683","Solar",330
"1684","Solar",155
"1685","Solar",155
"1686","Battery",40
"1687","Battery",35
"1688","Battery",80
"1689","Battery",42.5
"1690","Battery",42.5
"1691","CHP",35
"1692","CHP",32.5
"1693","CHP",77.5
"1694","CHP",40
"1695","CHP",40
"1696","Fuel_Cell",35
"1697","Fuel_Cell",32.5
"1698","Fuel_Cell",77.5
"1699","Fuel_Cell",40
"1700","Fuel_Cell",40
"1701","Solar",445
"1702","Battery",110
"1703","CHP",102.5
"1704","Fuel_Cell",102.5
"1705","Solar",300
"1706","Solar",62.5
"1707","Solar",125
"1708","Battery",77.5
"1709","Battery",17.5
"1710","Battery",35
"1711","CHP",70
"1712","CHP",15
"1713","CHP",32.5
"1714","Fuel_Cell",70
"1715","Fuel_Cell",15
"1716","Fuel_Cell",32.5
"1717","Solar",220
"1718","Solar",470
"1719","Solar",102.5
"1720","Solar",555
"1721","Solar",545
"1722","Solar",145
"1723","Solar",155
"1724","Battery",57.5
"1725","Battery",117.5
"1726","Battery",27.5
"1727","Battery",140
"1728","Battery",135
"1729","Battery",40
"1730","Battery",42.5
"1731","CHP",55
"1732","CHP",110
"1733","CHP",27.5
"1734","CHP",125
"1735","CHP",125
"1736","CHP",35
"1737","CHP",40
"1738","Fuel_Cell",55
"1739","Fuel_Cell",110
"1740","Fuel_Cell",27.5
"1741","Fuel_Cell",125
"1742","Fuel_Cell",125
"1743","Fuel_Cell",35
"1744","Fuel_Cell",40
"1745","Solar",160
"1746","Solar",430
"1747","Solar",345
"1748","Solar",150
"1749","Battery",42.5
"1750","Battery",170
"1751","Battery",87.5
"1752","Battery",42.5
"1753","CHP",40
"1754","CHP",57.5
"1755","CHP",80
"1756","CHP",37.5
"1757","Fuel_Cell",40
"1758","Fuel_Cell",0
"1759","Fuel_Cell",80
"1760","Fuel_Cell",37.5
"1761","Solar",127.5
"1762","Solar",145
"1763","Solar",360
"1764","Battery",35
"1765","Battery",40
"1766","Battery",87.5
"1767","CHP",32.5
"1768","CHP",37.5
"1769","CHP",80
"1770","Fuel_Cell",32.5
"1771","Fuel_Cell",37.5
"1772","Fuel_Cell",80
"1773","Solar",300
"1774","Solar",155
"1775","Solar",515
"1776","Solar",335
"1777","Solar",490
"1778","Battery",77.5
"1779","Battery",42.5
"1780","Battery",127.5
"1781","Battery",85
"1782","Battery",125
"1783","CHP",70
"1784","CHP",40
"1785","CHP",117.5
"1786","CHP",77.5
"1787","CHP",110
"1788","Fuel_Cell",70
"1789","Fuel_Cell",40
"1790","Fuel_Cell",117.5
"1791","Fuel_Cell",77.5
"1792","Fuel_Cell",110
"1793","Solar",455
"1794","Solar",32.5
"1795","Battery",112.5
"1796","Battery",14.5
"1797","CHP",102.5
"1798","CHP",4.5
"1799","Fuel_Cell",102.5
"1800","Fuel_Cell",0
"1801","Solar",1
"1802","Solar",140
"1803","Solar",110
"1804","Solar",445
"1805","Battery",0
"1806","Battery",37.5
"1807","Battery",30
"1808","Battery",110
"1809","CHP",0
"1810","CHP",35
"1811","CHP",27.5
"1812","CHP",102.5
"1813","Fuel_Cell",2
"1814","Fuel_Cell",35
"1815","Fuel_Cell",27.5
"1816","Fuel_Cell",102.5
"1817","Solar",600
"1818","Solar",125
"1819","Solar",160
"1820","Solar",520
"1821","Solar",155
"1822","Solar",132.5
"1823","Solar",320
"1824","Battery",145
"1825","Battery",35
"1826","Battery",42.5
"1827","Battery",132.5
"1828","Battery",42.5
"1829","Battery",35
"1830","Battery",80
"1831","CHP",215
"1832","CHP",32.5
"1833","CHP",40
"1834","CHP",117.5
"1835","CHP",40
"1836","CHP",32.5
"1837","CHP",77.5
"1838","Fuel_Cell",215
"1839","Fuel_Cell",32.5
"1840","Fuel_Cell",40
"1841","Fuel_Cell",117.5
"1842","Fuel_Cell",40
"1843","Fuel_Cell",32.5
"1844","Fuel_Cell",77.5
"1845","Solar",110
"1846","Solar",120
"1847","Solar",155
"1848","Battery",30
"1849","Battery",32.5
"1850","Battery",42.5
"1851","CHP",27.5
"1852","CHP",30
"1853","CHP",40
"1854","Fuel_Cell",27.5
"1855","Fuel_Cell",30
"1856","Fuel_Cell",40
"1857","Solar",255
"1858","Solar",47.5
"1859","Solar",400
"1860","Solar",160
"1861","Solar",155
"1862","Solar",330
"1863","Battery",67.5
"1864","Battery",20
"1865","Battery",102.5
"1866","Battery",42.5
"1867","Battery",42.5
"1868","Battery",80
"1869","CHP",62.5
"1870","CHP",6.5
"1871","CHP",87.5
"1872","CHP",40
"1873","CHP",40
"1874","CHP",77.5
"1875","Fuel_Cell",62.5
"1876","Fuel_Cell",0
"1877","Fuel_Cell",87.5
"1878","Fuel_Cell",40
"1879","Fuel_Cell",40
"1880","Fuel_Cell",77.5
"1881","Solar",430
"1882","Solar",70
"1883","Battery",110
"1884","Battery",20
"1885","CHP",95
"1886","CHP",17.5
"1887","Fuel_Cell",95
"1888","Fuel_Cell",17.5
"1889","Solar",155
"1890","Solar",535
"1891","Solar",155
"1892","Solar",500
"1893","Solar",145
"1894","Battery",42.5
"1895","Battery",132.5
"1896","Battery",42.5
"1897","Battery",125
"1898","Battery",40
"1899","CHP",40
"1900","CHP",120
"1901","CHP",40
"1902","CHP",112.5
"1903","CHP",35
"1904","Fuel_Cell",40
"1905","Fuel_Cell",120
"1906","Fuel_Cell",40
"1907","Fuel_Cell",112.5
"1908","Fuel_Cell",35
"1909","Solar",132.5
"1910","Solar",135
"1911","Solar",160
"1912","Battery",35
"1913","Battery",35
"1914","Battery",42.5
"1915","CHP",32.5
"1916","CHP",35
"1917","CHP",40
"1918","Fuel_Cell",32.5
"1919","Fuel_Cell",35
"1920","Fuel_Cell",40
"1921","Solar",230
"1922","Solar",445
"1923","Solar",125
"1924","Solar",390
"1925","Solar",155
"1926","Solar",11.5
"1927","Battery",62.5
"1928","Battery",110
"1929","Battery",35
"1930","Battery",95
"1931","Battery",42.5
"1932","Battery",5
"1933","CHP",55
"1934","CHP",102.5
"1935","CHP",32.5
"1936","CHP",87.5
"1937","CHP",40
"1938","CHP",2
"1939","Fuel_Cell",55
"1940","Fuel_Cell",102.5
"1941","Fuel_Cell",32.5
"1942","Fuel_Cell",87.5
"1943","Fuel_Cell",40
"1944","Fuel_Cell",0
"1945","Solar",112.5
"1946","Solar",125
"1947","Solar",220
"1948","Battery",32.5
"1949","Battery",35
"1950","Battery",57.5
"1951","CHP",27.5
"1952","CHP",32.5
"1953","CHP",55
"1954","Fuel_Cell",27.5
"1955","Fuel_Cell",32.5
"1956","Fuel_Cell",55
"1957","Solar",47.5
"1958","Solar",62.5
"1959","Solar",125
"1960","Solar",150
"1961","Battery",20
"1962","Battery",17.5
"1963","Battery",35
"1964","Battery",42.5
"1965","CHP",6
"1966","CHP",15
"1967","CHP",32.5
"1968","CHP",37.5
"1969","Fuel_Cell",0
"1970","Fuel_Cell",15
"1971","Fuel_Cell",32.5
"1972","Fuel_Cell",37.5
"1973","Solar",390
"1974","Solar",45
"1975","Battery",95
"1976","Battery",20
"1977","CHP",87.5
"1978","CHP",6
"1979","Fuel_Cell",87.5
"1980","Fuel_Cell",0
"1981","Solar",375
"1982","Solar",155
"1983","Solar",22.5
"1984","Solar",370
"1985","Battery",95
"1986","Battery",42.5
"1987","Battery",10.5
"1988","Battery",95
"1989","CHP",87.5
"1990","CHP",40
"1991","CHP",3
"1992","CHP",85
"1993","Fuel_Cell",87.5
"1994","Fuel_Cell",40
"1995","Fuel_Cell",0
"1996","Fuel_Cell",85
"1997","Solar",270
"1998","Solar",140
"1999","Solar",630
"2000","Battery",70
"2001","Battery",40
"2002","Battery",155
"2003","CHP",65
"2004","CHP",35
"2005","CHP",225
"2006","Fuel_Cell",65
"2007","Fuel_Cell",35
"2008","Fuel_Cell",225
"2009","Solar",560
"2010","Solar",132.5
"2011","Solar",155
"2012","Battery",140
"2013","Battery",35
"2014","Battery",42.5
"2015","CHP",125
"2016","CHP",32.5
"2017","CHP",40
"2018","Fuel_Cell",125
"2019","Fuel_Cell",32.5
"2020","Fuel_Cell",40
"2021","Solar",225
"2022","Solar",315
"2023","Solar",315
"2024","Solar",140
"2025","Solar",375
"2026","Battery",60
"2027","Battery",80
"2028","Battery",80
"2029","Battery",40
"2030","Battery",95
"2031","CHP",55
"2032","CHP",75
"2033","CHP",75
"2034","CHP",35
"2035","CHP",87.5
"2036","Fuel_Cell",55
"2037","Fuel_Cell",75
"2038","Fuel_Cell",75
"2039","Fuel_Cell",35
"2040","Fuel_Cell",87.5
"2041","Solar",575
"2042","Solar",185
"2043","Battery",140
"2044","Battery",50
"2045","CHP",205
"2046","CHP",45
"2047","Fuel_Cell",205
"2048","Fuel_Cell",45
"2049","Solar",80
"2050","Battery",22.5
"2051","CHP",20
"2052","Fuel_Cell",20
"2053","Solar",190
"2054","Solar",32.5
"2055","Solar",20
"2056","Solar",42.5
"2057","Solar",140
"2058","Battery",50
"2059","Battery",14.5
"2060","Battery",7.5
"2061","Battery",20
"2062","Battery",40
"2063","CHP",47.5
"2064","CHP",4.5
"2065","CHP",2.5
"2066","CHP",5.5
"2067","CHP",35
"2068","Fuel_Cell",47.5
"2069","Fuel_Cell",0
"2070","Fuel_Cell",0
"2071","Fuel_Cell",0
"2072","Fuel_Cell",35
"2073","Solar",145
"2074","Solar",250
"2075","Battery",40
"2076","Battery",65
"2077","CHP",35
"2078","CHP",62.5
"2079","Fuel_Cell",35
"2080","Fuel_Cell",62.5
"2081","Solar",430
"2082","Solar",160
"2083","Battery",110
"2084","Battery",42.5
"2085","CHP",95
"2086","CHP",40
"2087","Fuel_Cell",95
"2088","Fuel_Cell",40
"2089","Solar",270
"2090","Solar",17.5
"2091","Battery",70
"2092","Battery",6.5
"2093","CHP",65
"2094","CHP",2.5
"2095","Fuel_Cell",65
"2096","Fuel_Cell",0
"2097","Solar",235
"2098","Solar",145
"2099","Solar",125
"2100","Solar",117.5
"2101","Battery",62.5
"2102","Battery",40
"2103","Battery",35
"2104","Battery",32.5
"2105","CHP",57.5
"2106","CHP",35
"2107","CHP",32.5
"2108","CHP",30
"2109","Fuel_Cell",57.5
"2110","Fuel_Cell",35
"2111","Fuel_Cell",32.5
"2112","Fuel_Cell",30
"2113","Solar",645
"2114","Solar",145
"2115","Battery",160
"2116","Battery",40
"2117","CHP",230
"2118","CHP",35
"2119","Fuel_Cell",230
"2120","Fuel_Cell",35
"2121","Solar",140
"2122","Solar",102.5
"2123","Battery",37.5
"2124","Battery",27.5
"2125","CHP",35
"2126","CHP",27.5
"2127","Fuel_Cell",35
"2128","Fuel_Cell",27.5
"2129","Solar",155
"2130","Solar",135
"2131","Solar",590
"2132","Solar",485
"2133","Battery",42.5
"2134","Battery",35
"2135","Battery",145
"2136","Battery",120
"2137","CHP",40
"2138","CHP",35
"2139","CHP",215
"2140","CHP",110
"2141","Fuel_Cell",40
"2142","Fuel_Cell",35
"2143","Fuel_Cell",215
"2144","Fuel_Cell",110
"2145","Solar",200
"2146","Solar",220
"2147","Solar",590
"2148","Solar",150
"2149","Battery",55
"2150","Battery",57.5
"2151","Battery",145
"2152","Battery",42.5
"2153","CHP",47.5
"2154","CHP",55
"2155","CHP",215
"2156","CHP",37.5
"2157","Fuel_Cell",47.5
"2158","Fuel_Cell",55
"2159","Fuel_Cell",215
"2160","Fuel_Cell",37.5
"2161","Solar",185
"2162","Solar",190
"2163","Battery",50
"2164","Battery",50
"2165","CHP",47.5
"2166","CHP",47.5
"2167","Fuel_Cell",47.5
"2168","Fuel_Cell",47.5
"2169","Solar",1
"2170","Solar",245
"2171","Solar",155
"2172","Solar",125
"2173","Battery",0
"2174","Battery",65
"2175","Battery",67.5
"2176","Battery",35
"2177","CHP",0
"2178","CHP",57.5
"2179","CHP",22.5
"2180","CHP",32.5
"2181","Fuel_Cell",2
"2182","Fuel_Cell",57.5
"2183","Fuel_Cell",0
"2184","Fuel_Cell",32.5
"2185","Solar",230
"2186","Battery",62.5
"2187","CHP",55
"2188","Fuel_Cell",55
"2189","Solar",140
"2190","Solar",290
"2191","Solar",670
"2192","Solar",87.5
"2193","Battery",37.5
"2194","Battery",77.5
"2195","Battery",160
"2196","Battery",25
"2197","CHP",35
"2198","CHP",70
"2199","CHP",240
"2200","CHP",22.5
"2201","Fuel_Cell",35
"2202","Fuel_Cell",70
"2203","Fuel_Cell",240
"2204","Fuel_Cell",22.5
"2205","Solar",150
"2206","Battery",42.5
"2207","CHP",37.5
"2208","Fuel_Cell",37.5
"2209","Solar",140
"2210","Solar",145
"2211","Battery",40
"2212","Battery",40
"2213","CHP",35
"2214","CHP",35
"2215","Fuel_Cell",35
"2216","Fuel_Cell",35
"2217","Solar",145
"2218","Battery",40
"2219","CHP",35
"2220","Fuel_Cell",35
"2221","Solar",70
"2222","Solar",180
"2223","Solar",260
"2224","Battery",20
"2225","Battery",50
"2226","Battery",70
"2227","CHP",17.5
"2228","CHP",42.5
"2229","CHP",62.5
"2230","Fuel_Cell",17.5
"2231","Fuel_Cell",42.5
"2232","Fuel_Cell",62.5
"2233","Solar",475
"2234","Solar",455
"2235","Solar",140
"2236","Battery",117.5
"2237","Battery",112.5
"2238","Battery",37.5
"2239","CHP",110
"2240","CHP",102.5
"2241","CHP",35
"2242","Fuel_Cell",110
"2243","Fuel_Cell",102.5
"2244","Fuel_Cell",35
"2245","Solar",275
"2246","Solar",215
"2247","Battery",72.5
"2248","Battery",57.5
"2249","CHP",67.5
"2250","CHP",55
"2251","Fuel_Cell",67.5
"2252","Fuel_Cell",55
"2253","Solar",132.5
"2254","Solar",155
"2255","Solar",500
"2256","Battery",35
"2257","Battery",42.5
"2258","Battery",125
"2259","CHP",32.5
"2260","CHP",40
"2261","CHP",110
"2262","Fuel_Cell",32.5
"2263","Fuel_Cell",40
"2264","Fuel_Cell",110
"2265","Solar",165
"2266","Battery",45
"2267","CHP",42.5
"2268","Fuel_Cell",42.5
"2269","Solar",260
"2270","Solar",290
"2271","Solar",485
"2272","Battery",70
"2273","Battery",77.5
"2274","Battery",120
"2275","CHP",62.5
"2276","CHP",70
"2277","CHP",110
"2278","Fuel_Cell",62.5
"2279","Fuel_Cell",70
"2280","Fuel_Cell",110
"2281","Solar",585
"2282","Solar",585
"2283","Solar",305
"2284","Battery",145
"2285","Battery",145
"2286","Battery",77.5
"2287","CHP",210
"2288","CHP",205
"2289","CHP",72.5
"2290","Fuel_Cell",210
"2291","Fuel_Cell",205
"2292","Fuel_Cell",72.5
"2293","Solar",102.5
"2294","Solar",190
"2295","Solar",150
"2296","Solar",112.5
"2297","Battery",27.5
"2298","Battery",50
"2299","Battery",42.5
"2300","Battery",32.5
"2301","CHP",27.5
"2302","CHP",47.5
"2303","CHP",37.5
"2304","CHP",27.5
"2305","Fuel_Cell",27.5
"2306","Fuel_Cell",47.5
"2307","Fuel_Cell",37.5
"2308","Fuel_Cell",27.5
"2309","Solar",87.5
"2310","Battery",25
"2311","CHP",22.5
"2312","Fuel_Cell",22.5
"2313","Solar",200
"2314","Battery",55
"2315","CHP",50
"2316","Fuel_Cell",50
"2317","Solar",430
"2318","Solar",150
"2319","Battery",110
"2320","Battery",42.5
"2321","CHP",95
"2322","CHP",37.5
"2323","Fuel_Cell",95
"2324","Fuel_Cell",37.5
"2325","Solar",140
"2326","Battery",40
"2327","CHP",35
"2328","Fuel_Cell",35
"2329","Solar",140
"2330","Battery",37.5
"2331","CHP",35
"2332","Fuel_Cell",35
"2333","Solar",455
"2334","Solar",175
"2335","Battery",112.5
"2336","Battery",47.5
"2337","CHP",102.5
"2338","CHP",42.5
"2339","Fuel_Cell",102.5
"2340","Fuel_Cell",42.5
"2341","Solar",112.5
"2342","Battery",32.5
"2343","CHP",27.5
"2344","Fuel_Cell",27.5
"2345","Solar",110
"2346","Battery",30
"2347","CHP",27.5
"2348","Fuel_Cell",27.5
"2349","Solar",330
"2350","Battery",80
"2351","CHP",77.5
"2352","Fuel_Cell",77.5
"2353","Solar",535
"2354","Battery",132.5
"2355","CHP",120
"2356","Fuel_Cell",120
"2357","Solar",25
"2358","Solar",0
"2359","Solar",140
"2360","Solar",235
"2361","Solar",0
"2362","Solar",0
"2363","Solar",0
"2364","Battery",11
"2365","Battery",0
"2366","Battery",37.5
"2367","Battery",62.5
"2368","Battery",0
"2369","Battery",0
"2370","Battery",0
"2371","CHP",3.5
"2372","CHP",0
"2373","CHP",35
"2374","CHP",57.5
"2375","CHP",0
"2376","CHP",0
"2377","CHP",0
"2378","Fuel_Cell",0
"2379","Fuel_Cell",0
"2380","Fuel_Cell",35
"2381","Fuel_Cell",57.5
"2382","Fuel_Cell",0
"2383","Fuel_Cell",0
"2384","Fuel_Cell",0
"2385","Solar",315
"2386","Battery",80
"2387","CHP",77.5
"2388","Fuel_Cell",77.5
"2389","Solar",275
"2390","Battery",72.5
"2391","CHP",65
"2392","Fuel_Cell",65
"2393","Solar",145
"2394","Battery",40
"2395","CHP",35
"2396","Fuel_Cell",35
"2397","Solar",145
"2398","Battery",40
"2399","CHP",35
"2400","Fuel_Cell",35
"2401","Solar",265
"2402","Battery",70
"2403","CHP",62.5
"2404","Fuel_Cell",62.5
"2405","Solar",105
"2406","Battery",27.5
"2407","CHP",27.5
"2408","Fuel_Cell",27.5
"2409","Solar",230
"2410","Battery",62.5
"2411","CHP",55
"2412","Fuel_Cell",55
